INFO 2026-02-08 09:53:33,815 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:26:43,409 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,814 log "GET /admin/core/contentpage/c9e7e786-6f41-4f1a-bfe2-978dc2194beb/change/ HTTP/1.1" 200 20778
INFO 2026-02-08 10:26:46,865 log "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,865 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,866 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,873 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,876 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:26:46,911 log "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-08 10:26:46,912 log "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-08 10:26:47,136 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:26:47,138 log "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 805
INFO 2026-02-08 10:33:38,327 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/models.py changed, reloading.
INFO 2026-02-08 10:33:39,641 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:33:51,438 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/views.py changed, reloading.
INFO 2026-02-08 10:33:52,237 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:34:07,112 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/views.py changed, reloading.
INFO 2026-02-08 10:34:08,124 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:34:24,914 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/serializers.py changed, reloading.
INFO 2026-02-08 10:34:25,508 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:34:36,123 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/serializers.py changed, reloading.
INFO 2026-02-08 10:34:36,891 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:34:46,520 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/urls.py changed, reloading.
INFO 2026-02-08 10:34:47,324 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:39:22,192 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/admin.py changed, reloading.
INFO 2026-02-08 10:39:23,282 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:39:33,995 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/admin.py changed, reloading.
INFO 2026-02-08 10:39:34,581 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:40:47,189 log "OPTIONS /api/content/home/ HTTP/1.1" 200 0
INFO 2026-02-08 10:40:47,189 log "OPTIONS /api/programs/ HTTP/1.1" 200 0
WARNING 2026-02-08 10:40:47,251 log Not Found: /api/content/home/
WARNING 2026-02-08 10:40:47,252 log Not Found: /api/programs/
WARNING 2026-02-08 10:40:47,252 log "GET /api/content/home/ HTTP/1.1" 404 2695
WARNING 2026-02-08 10:40:47,256 log "GET /api/programs/ HTTP/1.1" 404 2683
INFO 2026-02-08 10:47:48,390 log "OPTIONS /api/achievements/ HTTP/1.1" 200 0
INFO 2026-02-08 10:47:48,391 log "OPTIONS /api/achievements/ HTTP/1.1" 200 0
WARNING 2026-02-08 10:47:48,403 log Not Found: /api/achievements/
WARNING 2026-02-08 10:47:48,404 log "GET /api/achievements/ HTTP/1.1" 404 2695
WARNING 2026-02-08 10:47:48,411 log Not Found: /api/achievements/
WARNING 2026-02-08 10:47:48,412 log "GET /api/achievements/ HTTP/1.1" 404 2695
INFO 2026-02-08 10:47:52,831 log "OPTIONS /api/gallery/ HTTP/1.1" 200 0
INFO 2026-02-08 10:47:52,842 log "OPTIONS /api/gallery/ HTTP/1.1" 200 0
WARNING 2026-02-08 10:47:52,847 log Not Found: /api/gallery/
WARNING 2026-02-08 10:47:52,851 log "GET /api/gallery/ HTTP/1.1" 404 2680
